N,P,K,temperature,humidity,ph,rainfall,label
16.0,65.0,19.0,27.612,69.297,7.043,42.723,lentil
34.0,65.0,19.0,23.439,63.22,5.942,45.402,lentil
14.0,69.0,19.0,20.956,63.681,7.239,52.398,lentil
22.0,55.0,16.0,23.793,68.032,6.516,49.739,lentil
24.0,61.0,17.0,22.637,65.445,6.233,38.304,lentil
2.0,79.0,15.0,21.535,65.472,7.505,35.751,lentil
26.0,63.0,17.0,29.878,65.73,6.95,44.956,lentil
27.0,61.0,15.0,25.265,67.1,6.958,48.339,lentil
24.0,70.0,16.0,25.178,68.933,6.548,35.034,lentil
13.0,74.0,25.0,24.121,61.095,6.461,44.236,lentil
6.0,64.0,23.0,23.335,67.404,7.065,36.186,lentil
12.0,58.0,23.0,21.746,63.395,6.765,50.433,lentil
32.0,79.0,22.0,27.601,63.461,5.916,54.378,lentil
6.0,68.0,18.0,24.388,62.504,6.711,47.26,lentil
10.0,79.0,20.0,24.982,66.895,6.379,38.213,lentil
38.0,77.0,22.0,28.234,69.315,6.313,35.368,lentil
17.0,74.0,17.0,26.03,69.558,7.393,37.113,lentil
26.0,68.0,24.0,28.048,64.076,7.504,37.158,lentil
23.0,75.0,17.0,24.874,64.002,7.198,48.281,lentil
32.0,78.0,22.0,23.97,62.355,7.007,53.409,lentil
19.0,79.0,19.0,20.06,67.762,6.677,42.895,lentil
22.0,60.0,18.0,19.592,61.286,6.743,41.77,lentil
28.0,69.0,16.0,29.77,66.293,6.547,35.696,lentil
1.0,67.0,21.0,27.521,60.536,6.551,48.064,lentil
12.0,67.0,23.0,25.628,63.149,6.585,45.496,lentil
36.0,67.0,20.0,20.39,60.475,6.924,53.315,lentil
28.0,70.0,21.0,25.39,60.498,7.437,39.183,lentil
12.0,71.0,19.0,24.91,60.713,7.142,42.197,lentil
22.0,68.0,16.0,27.704,63.209,7.746,37.461,lentil
26.0,66.0,22.0,18.064,65.103,6.3,51.549,lentil
16.0,65.0,16.0,18.13,62.458,6.078,50.612,lentil
14.0,59.0,22.0,23.827,67.898,6.766,46.907,lentil
33.0,59.0,19.0,23.193,62.747,7.641,49.552,lentil
21.0,63.0,17.0,25.089,68.175,6.559,41.454,lentil
0.0,69.0,21.0,25.869,61.883,7.072,36.682,lentil
10.0,75.0,17.0,18.439,68.053,7.732,39.009,lentil
30.0,61.0,18.0,27.149,67.026,6.157,52.508,lentil
0.0,74.0,17.0,23.333,64.505,7.24,47.015,lentil
35.0,74.0,22.0,26.723,62.968,6.898,42.872,lentil
7.0,63.0,24.0,19.557,64.452,6.818,53.046,lentil
9.0,56.0,17.0,26.137,66.772,6.261,46.482,lentil
14.0,74.0,15.0,27.999,65.576,6.493,49.94,lentil
14.0,76.0,20.0,29.059,62.106,7.042,36.501,lentil
36.0,65.0,16.0,25.712,64.112,7.692,50.17,lentil
28.0,67.0,21.0,21.797,63.73,6.25,46.623,lentil
28.0,79.0,16.0,24.706,60.268,6.052,53.124,lentil
40.0,61.0,22.0,20.949,65.81,7.002,44.239,lentil
10.0,70.0,19.0,24.849,68.98,7.272,41.61,lentil
12.0,80.0,19.0,21.91,65.216,5.962,36.102,lentil
37.0,77.0,20.0,25.933,68.705,7.08,51.023,lentil
0.0,67.0,22.0,29.821,69.407,6.593,51.564,lentil
7.0,73.0,25.0,27.521,63.132,7.288,45.208,lentil
10.0,56.0,18.0,27.996,68.642,7.327,46.105,lentil
39.0,70.0,15.0,20.767,63.901,6.366,47.927,lentil
26.0,56.0,22.0,23.052,60.424,7.011,52.602,lentil
9.0,77.0,17.0,21.658,63.583,6.28,38.076,lentil
4.0,59.0,19.0,26.25,67.627,7.621,40.81,lentil
34.0,73.0,15.0,20.971,63.831,7.63,53.102,lentil
33.0,77.0,15.0,23.897,66.321,7.802,40.745,lentil
2.0,24.0,38.0,24.559,91.635,5.922,111.968,pomegranate
6.0,18.0,37.0,19.656,89.937,5.937,108.045,pomegranate
8.0,26.0,36.0,18.783,87.402,6.804,102.518,pomegranate
37.0,18.0,39.0,24.146,94.511,6.424,110.231,pomegranate
0.0,27.0,38.0,22.445,89.901,6.738,109.39,pomegranate
31.0,25.0,38.0,24.962,92.405,6.497,109.416,pomegranate
21.0,21.0,38.0,22.552,89.325,6.327,104.895,pomegranate
6.0,30.0,40.0,22.77,91.454,6.361,106.965,pomegranate
25.0,27.0,41.0,19.2,94.276,6.923,108.042,pomegranate
15.0,11.0,38.0,23.128,92.683,6.63,109.393,pomegranate
14.0,5.0,36.0,24.926,85.19,5.832,104.769,pomegranate
16.0,10.0,41.0,24.774,85.636,6.738,105.759,pomegranate
36.0,7.0,37.0,19.867,86.355,5.782,108.316,pomegranate
4.0,20.0,41.0,24.266,93.797,6.537,104.537,pomegranate
29.0,22.0,40.0,23.626,89.732,6.145,107.683,pomegranate
16.0,15.0,42.0,19.678,89.089,6.89,108.546,pomegranate
18.0,27.0,41.0,22.365,92.308,7.175,104.821,pomegranate
11.0,18.0,42.0,21.579,94.882,5.938,102.859,pomegranate
5.0,15.0,38.0,18.262,88.167,5.709,108.075,pomegranate
18.0,23.0,44.0,23.71,89.617,6.184,105.649,pomegranate
9.0,8.0,40.0,22.487,89.922,6.553,111.663,pomegranate
40.0,27.0,45.0,21.66,94.793,5.885,112.434,pomegranate
22.0,23.0,44.0,20.13,89.315,6.143,107.341,pomegranate
9.0,16.0,39.0,18.411,91.119,6.101,105.183,pomegranate
12.0,29.0,40.0,19.682,89.752,6.594,111.281,pomegranate
0.0,17.0,42.0,23.202,91.194,6.859,109.094,pomegranate
2.0,21.0,44.0,18.921,87.312,6.568,102.801,pomegranate
28.0,6.0,40.0,22.106,91.34,6.769,106.87,pomegranate
8.0,23.0,44.0,18.474,89.689,7.13,108.475,pomegranate
29.0,16.0,36.0,19.81,88.929,5.74,102.86,pomegranate
17.0,18.0,43.0,24.488,90.836,5.843,103.196,pomegranate
34.0,21.0,42.0,18.759,89.934,6.648,111.019,pomegranate
21.0,23.0,42.0,19.541,90.297,6.902,104.373,pomegranate
25.0,17.0,40.0,18.912,87.749,6.608,111.28,pomegranate
8.0,25.0,36.0,19.913,94.95,6.828,104.027,pomegranate
26.0,18.0,42.0,19.726,89.649,6.91,108.228,pomegranate
4.0,19.0,42.0,23.831,87.84,6.306,111.223,pomegranate
36.0,24.0,41.0,24.944,94.257,7.009,103.879,pomegranate
5.0,24.0,40.0,24.692,93.87,6.297,104.673,pomegranate
19.0,17.0,39.0,24.724,85.56,6.728,111.278,pomegranate
39.0,30.0,38.0,20.126,87.596,6.965,108.065,pomegranate
5.0,29.0,44.0,21.024,93.056,5.578,104.784,pomegranate
4.0,24.0,43.0,22.404,88.15,7.199,109.869,pomegranate
38.0,21.0,35.0,20.336,89.38,5.841,110.965,pomegranate
37.0,11.0,36.0,24.247,85.56,6.71,106.921,pomegranate
9.0,25.0,41.0,24.815,91.908,5.972,109.285,pomegranate
29.0,22.0,43.0,19.663,87.951,5.561,106.038,pomegranate
5.0,21.0,38.0,22.433,90.339,6.107,112.459,pomegranate
22.0,26.0,38.0,22.92,85.129,6.988,110.243,pomegranate
4.0,18.0,37.0,22.918,85.406,7.131,106.281,pomegranate
21.0,6.0,41.0,24.882,89.396,7.086,107.195,pomegranate
29.0,21.0,45.0,23.409,93.132,6.749,105.224,pomegranate
23.0,5.0,44.0,21.207,94.263,7.163,107.566,pomegranate
13.0,7.0,43.0,18.202,91.122,7.013,109.662,pomegranate
5.0,13.0,37.0,22.343,89.787,5.648,103.318,pomegranate
27.0,24.0,41.0,24.327,90.882,6.61,110.46,pomegranate
7.0,23.0,35.0,19.75,88.716,7.054,102.553,pomegranate
12.0,20.0,39.0,19.861,86.197,6.026,111.021,pomegranate
4.0,19.0,43.0,18.071,93.145,5.779,106.36,pomegranate
3.0,9.0,45.0,23.891,89.618,6.535,104.617,pomegranate
1.0,27.0,36.0,23.985,93.342,5.684,104.991,pomegranate
23.0,30.0,44.0,20.938,85.429,6.124,103.029,pomegranate
24.0,21.0,42.0,20.822,87.228,6.999,109.442,pomegranate
13.0,30.0,37.0,20.864,91.617,6.277,106.868,pomegranate
40.0,11.0,44.0,24.458,86.108,6.322,111.377,pomegranate
21.0,9.0,40.0,24.511,90.644,5.956,105.62,pomegranate
3.0,27.0,44.0,24.568,92.03,6.591,110.963,pomegranate
40.0,29.0,42.0,24.632,89.015,7.104,110.695,pomegranate
14.0,25.0,40.0,20.073,90.978,6.407,103.708,pomegranate
38.0,14.0,37.0,21.805,94.636,6.658,102.648,pomegranate
34.0,9.0,36.0,22.812,86.342,6.276,110.443,pomegranate
32.0,14.0,37.0,22.73,88.485,6.825,104.684,pomegranate
18.0,21.0,35.0,23.28,94.943,6.368,111.138,pomegranate
8.0,23.0,38.0,19.301,87.177,7.005,105.476,pomegranate
15.0,6.0,41.0,19.008,88.837,6.897,108.679,pomegranate
0.0,5.0,36.0,24.351,90.886,6.152,105.529,pomegranate
22.0,9.0,44.0,24.722,88.876,5.744,112.192,pomegranate
14.0,8.0,43.0,21.925,94.464,7.051,111.716,pomegranate
31.0,11.0,45.0,24.839,86.887,6.034,107.643,pomegranate
39.0,17.0,45.0,18.096,90.421,6.924,104.881,pomegranate
10.0,5.0,42.0,20.241,91.087,6.887,109.253,pomegranate
8.0,28.0,38.0,23.225,94.429,6.844,105.691,pomegranate
32.0,13.0,42.0,23.501,92.975,5.786,106.619,pomegranate
18.0,9.0,40.0,19.446,89.021,5.627,106.16,pomegranate
20.0,27.0,41.0,20.513,92.516,5.7,110.576,pomegranate
39.0,25.0,36.0,18.902,94.998,5.567,107.61,pomegranate
20.0,7.0,45.0,18.905,89.241,6.077,112.475,pomegranate
11.0,10.0,45.0,22.63,88.455,6.397,109.035,pomegranate
40.0,18.0,43.0,19.386,86.79,5.767,109.913,pomegranate
3.0,26.0,39.0,24.383,91.194,7.079,103.601,pomegranate
9.0,16.0,36.0,23.779,92.933,5.893,106.977,pomegranate
30.0,20.0,38.0,22.598,93.163,7.058,110.093,pomegranate
40.0,9.0,41.0,24.377,85.401,5.782,106.128,pomegranate
40.0,30.0,35.0,20.892,91.077,6.269,104.44,pomegranate
32.0,25.0,35.0,18.099,85.707,5.892,107.005,pomegranate
33.0,23.0,45.0,20.002,85.836,7.116,112.337,pomegranate
4.0,14.0,41.0,19.851,89.807,6.43,102.818,pomegranate
13.0,17.0,45.0,21.254,92.65,7.159,106.278,pomegranate
39.0,24.0,39.0,23.653,93.326,6.431,109.807,pomegranate
8.0,28.0,37.0,23.884,86.206,6.082,108.312,pomegranate
91.0,94.0,46.0,29.367,76.249,6.149,92.828,banana
105.0,95.0,50.0,27.333,83.676,5.849,101.049,banana
108.0,92.0,53.0,27.4,82.962,6.276,104.937,banana
86.0,76.0,54.0,29.315,80.115,5.926,90.109,banana
80.0,77.0,49.0,26.054,79.396,5.519,113.229,banana
93.0,94.0,53.0,25.866,84.423,6.079,114.535,banana
90.0,92.0,55.0,27.009,80.185,6.134,97.325,banana
108.0,89.0,53.0,29.55,78.067,5.808,99.344,banana
108.0,88.0,55.0,26.288,83.39,5.891,113.872,banana
105.0,77.0,52.0,29.162,76.161,5.816,100.007,banana
118.0,88.0,52.0,28.65,82.687,5.843,98.75,banana
101.0,87.0,54.0,29.073,76.5,6.376,100.169,banana
95.0,75.0,50.0,28.081,75.264,5.623,118.276,banana
106.0,85.0,53.0,27.199,78.808,5.915,99.724,banana
86.0,95.0,49.0,28.054,78.046,6.458,108.395,banana
83.0,79.0,55.0,25.147,83.346,5.565,98.666,banana
85.0,95.0,47.0,25.94,78.342,6.211,119.847,banana
109.0,79.0,45.0,27.667,79.685,6.49,108.664,banana
100.0,76.0,45.0,25.567,75.94,5.59,102.786,banana
117.0,86.0,48.0,28.695,82.541,6.225,116.161,banana
114.0,94.0,53.0,26.335,76.853,6.19,118.685,banana
110.0,78.0,50.0,25.937,78.898,5.915,98.217,banana
94.0,70.0,48.0,25.136,84.883,6.195,91.464,banana
80.0,71.0,47.0,27.505,80.797,6.156,105.077,banana
114.0,79.0,51.0,26.21,82.344,6.313,112.07,banana
88.0,78.0,45.0,29.104,79.195,6.324,92.078,banana
112.0,73.0,48.0,29.244,77.32,5.707,90.667,banana
117.0,76.0,47.0,25.562,77.382,6.119,93.102,banana
111.0,87.0,48.0,26.398,81.36,5.571,98.167,banana
89.0,83.0,47.0,28.095,77.795,5.631,109.54,banana
93.0,91.0,47.0,27.847,83.311,6.101,117.287,banana
92.0,81.0,52.0,27.393,81.465,6.438,94.311,banana
105.0,74.0,45.0,25.145,81.382,6.098,119.218,banana
102.0,71.0,48.0,28.654,79.286,5.695,102.463,banana
94.0,91.0,51.0,29.16,76.674,5.618,109.575,banana
116.0,71.0,47.0,27.572,82.063,6.435,91.342,banana
117.0,79.0,49.0,25.409,82.362,6.176,112.979,banana
119.0,72.0,55.0,25.99,83.339,6.22,112.077,banana
99.0,73.0,53.0,26.29,81.06,5.871,118.673,banana
91.0,84.0,52.0,29.148,78.71,6.39,117.536,banana
80.0,90.0,47.0,26.597,79.358,6.21,107.394,banana
101.0,70.0,48.0,25.36,75.031,6.012,116.553,banana
108.0,89.0,53.0,29.12,80.18,5.908,112.398,banana
100.0,80.0,52.0,27.539,77.256,6.049,110.326,banana
109.0,91.0,53.0,29.667,83.51,6.01,110.251,banana
82.0,78.0,46.0,25.058,84.973,5.738,110.44,banana
106.0,70.0,55.0,25.868,78.523,5.74,116.301,banana
90.0,86.0,52.0,25.85,81.955,5.793,119.085,banana
83.0,95.0,50.0,26.516,77.799,5.509,108.854,banana
119.0,90.0,48.0,28.667,79.592,5.986,118.258,banana
107.0,72.0,45.0,28.149,81.544,5.79,91.405,banana
116.0,81.0,55.0,26.423,83.699,5.915,95.123,banana
101.0,75.0,50.0,26.593,81.407,6.242,109.982,banana
93.0,81.0,50.0,27.718,76.578,6.036,102.209,banana
95.0,75.0,45.0,28.983,82.959,5.829,109.022,banana
107.0,71.0,55.0,29.42,83.967,6.088,117.229,banana
83.0,94.0,47.0,27.398,81.105,6.469,112.135,banana
102.0,73.0,54.0,26.402,84.41,5.72,111.016,banana
86.0,79.0,45.0,27.812,82.692,5.807,99.209,banana
117.0,86.0,53.0,25.196,83.558,5.703,115.858,banana
111.0,79.0,53.0,28.311,75.773,6.165,119.695,banana
95.0,74.0,50.0,25.901,80.471,6.002,110.103,banana
91.0,75.0,55.0,27.486,76.112,6.212,109.276,banana
93.0,83.0,46.0,29.382,83.504,5.765,109.248,banana
92.0,85.0,51.0,29.221,81.081,5.74,108.861,banana
104.0,80.0,54.0,27.09,81.335,5.879,110.133,banana
103.0,72.0,51.0,26.126,81.813,6.099,104.481,banana
92.0,75.0,45.0,29.012,77.951,5.674,90.434,banana
93.0,85.0,49.0,27.967,79.286,5.694,119.476,banana
120.0,87.0,52.0,28.076,76.055,5.905,118.992,banana
108.0,72.0,46.0,25.162,84.978,6.11,90.945,banana
105.0,88.0,54.0,25.787,84.511,6.02,114.2,banana
98.0,79.0,50.0,25.341,84.473,6.435,91.064,banana
111.0,88.0,55.0,29.447,78.349,5.505,96.45,banana
97.0,74.0,45.0,26.475,78.518,5.677,113.116,banana
95.0,82.0,48.0,27.394,83.311,5.719,92.781,banana
89.0,91.0,55.0,25.083,80.261,6.275,94.329,banana
89.0,85.0,55.0,26.671,76.485,6.275,91.733,banana
118.0,88.0,51.0,25.449,79.492,6.201,100.661,banana
101.0,92.0,45.0,28.227,80.643,5.758,98.004,banana
99.0,92.0,47.0,28.127,77.482,6.323,103.504,banana
82.0,77.0,46.0,28.947,82.188,5.901,95.83,banana
90.0,86.0,55.0,27.962,84.154,5.644,97.559,banana
95.0,88.0,52.0,28.003,78.9,6.235,94.681,banana
104.0,73.0,46.0,29.14,80.119,6.282,90.451,banana
102.0,73.0,52.0,27.912,83.363,6.356,90.242,banana
100.0,74.0,52.0,25.434,81.539,5.837,96.478,banana
94.0,89.0,48.0,28.559,84.516,5.653,111.084,banana
99.0,70.0,46.0,26.595,82.995,5.727,100.512,banana
112.0,87.0,48.0,27.197,77.397,6.2,99.469,banana
117.0,82.0,45.0,25.293,79.291,5.614,105.422,banana
96.0,86.0,51.0,29.908,76.987,6.257,91.999,banana
113.0,85.0,45.0,27.949,76.637,6.037,109.092,banana
105.0,93.0,46.0,25.01,78.762,5.76,108.369,banana
85.0,89.0,51.0,29.211,84.701,6.158,108.55,banana
108.0,94.0,47.0,27.359,84.546,6.387,90.812,banana
92.0,81.0,52.0,28.01,76.528,5.891,103.704,banana
110.0,71.0,54.0,28.672,82.207,5.725,94.379,banana
82.0,75.0,55.0,27.345,78.487,6.281,92.155,banana
117.0,81.0,53.0,29.507,78.205,5.507,98.125,banana
2.0,40.0,27.0,29.737,47.548,5.954,90.095,mango
39.0,24.0,31.0,33.556,53.729,4.757,98.675,mango
21.0,26.0,27.0,27.003,47.675,5.699,95.851,mango
25.0,22.0,25.0,33.561,45.535,5.977,95.705,mango
0.0,21.0,32.0,35.898,54.259,6.43,92.197,mango
20.0,19.0,35.0,34.177,50.621,6.113,98.006,mango
19.0,21.0,34.0,30.015,53.192,5.074,97.728,mango
18.0,17.0,31.0,31.745,45.161,5.667,93.754,mango
11.0,36.0,33.0,35.99,52.227,5.978,95.371,mango
30.0,28.0,30.0,31.866,52.193,5.064,98.467,mango
18.0,19.0,27.0,27.755,52.346,4.772,94.112,mango
23.0,23.0,27.0,34.724,51.427,5.161,97.312,mango
37.0,30.0,34.0,27.539,53.635,6.797,99.354,mango
11.0,27.0,30.0,27.696,48.562,6.394,89.856,mango
12.0,19.0,31.0,27.253,52.663,5.566,91.873,mango
3.0,28.0,33.0,30.337,48.887,5.755,94.428,mango
37.0,38.0,32.0,31.857,45.531,5.417,91.558,mango
26.0,37.0,30.0,35.399,49.459,6.166,97.41,mango
14.0,18.0,30.0,29.807,52.137,5.191,95.746,mango
40.0,16.0,35.0,34.164,54.164,4.954,98.333,mango
4.0,20.0,25.0,28.932,47.94,5.664,99.983,mango
36.0,25.0,33.0,27.983,53.33,5.548,99.614,mango
30.0,17.0,31.0,31.204,54.499,6.804,94.629,mango
28.0,37.0,28.0,32.134,50.525,6.097,98.633,mango
38.0,15.0,30.0,28.918,48.139,5.075,97.013,mango
12.0,37.0,30.0,31.097,47.411,4.546,90.286,mango
38.0,19.0,31.0,34.738,49.088,5.855,90.65,mango
8.0,33.0,29.0,29.98,49.486,6.442,91.822,mango
15.0,27.0,28.0,33.803,46.128,4.507,90.825,mango
34.0,16.0,25.0,30.072,50.96,6.107,92.096,mango
11.0,36.0,31.0,27.92,51.779,6.475,100.258,mango
33.0,29.0,34.0,31.409,49.217,6.832,92.997,mango
12.0,31.0,26.0,35.787,51.941,5.395,100.216,mango
12.0,34.0,28.0,33.361,45.022,6.135,98.815,mango
5.0,16.0,31.0,35.96,48.696,4.555,98.006,mango
1.0,30.0,29.0,28.333,51.395,6.434,91.672,mango
16.0,35.0,31.0,32.276,50.193,5.316,95.994,mango
35.0,18.0,26.0,31.994,50.848,5.279,97.387,mango
4.0,40.0,26.0,27.582,48.569,6.72,95.844,mango
9.0,29.0,34.0,29.384,45.887,5.727,100.812,mango
2.0,38.0,33.0,32.386,53.232,4.691,90.216,mango
26.0,32.0,32.0,30.914,49.929,6.81,90.14,mango
34.0,38.0,31.0,35.377,45.581,6.454,97.415,mango
5.0,32.0,33.0,32.323,52.589,5.842,93.367,mango
31.0,29.0,26.0,28.223,47.405,5.024,97.768,mango
34.0,34.0,35.0,27.274,47.168,6.422,95.257,mango
36.0,19.0,32.0,27.107,50.708,4.942,92.372,mango
7.0,17.0,26.0,34.892,48.756,6.414,91.63,mango
38.0,15.0,27.0,33.746,48.503,6.777,92.264,mango
5.0,19.0,25.0,27.351,54.439,6.441,96.277,mango
37.0,36.0,26.0,32.893,52.613,4.65,94.491,mango
21.0,31.0,32.0,35.385,51.426,5.254,90.296,mango
37.0,36.0,27.0,27.552,47.908,5.91,90.403,mango
23.0,23.0,30.0,32.821,47.455,4.755,90.891,mango
36.0,26.0,26.0,30.172,51.084,6.814,95.234,mango
24.0,33.0,35.0,29.263,54.822,5.342,100.758,mango
26.0,18.0,30.0,32.06,51.084,6.336,96.598,mango
22.0,17.0,26.0,28.698,47.718,4.754,99.642,mango
11.0,34.0,32.0,29.143,49.409,6.831,97.551,mango
29.0,35.0,28.0,28.347,53.539,6.967,90.402,mango
22.0,28.0,26.0,27.672,45.416,4.947,92.849,mango
23.0,24.0,32.0,28.121,46.168,5.63,93.302,mango
1.0,35.0,34.0,30.793,46.695,6.273,92.213,mango
2.0,24.0,34.0,28.894,54.807,6.472,94.763,mango
39.0,37.0,25.0,33.33,45.611,6.953,98.285,mango
15.0,36.0,27.0,27.789,53.968,5.643,91.011,mango
3.0,18.0,31.0,31.653,48.206,6.392,91.097,mango
8.0,38.0,32.0,29.751,46.737,4.981,91.405,mango
33.0,31.0,34.0,31.329,50.222,5.421,89.782,mango
14.0,29.0,32.0,35.636,48.97,6.942,97.519,mango
18.0,20.0,26.0,31.665,51.985,5.435,89.98,mango
9.0,21.0,32.0,32.269,53.56,5.87,95.94,mango
20.0,30.0,27.0,27.81,51.594,4.749,95.898,mango
9.0,38.0,25.0,34.585,50.34,5.497,100.306,mango
26.0,24.0,34.0,31.271,52.238,6.811,89.744,mango
31.0,36.0,29.0,33.936,52.721,6.46,97.461,mango
14.0,18.0,35.0,31.091,47.02,4.791,91.466,mango
40.0,16.0,35.0,31.893,49.024,6.484,89.593,mango
28.0,27.0,34.0,32.454,50.696,6.526,95.048,mango
0.0,17.0,30.0,35.474,47.972,6.279,97.79,mango
1.0,29.0,29.0,27.329,49.303,6.052,93.531,mango
2.0,36.0,31.0,30.902,49.959,5.731,91.775,mango
12.0,27.0,26.0,29.093,45.566,5.323,96.235,mango
7.0,28.0,35.0,30.02,46.783,4.669,96.637,mango
0.0,36.0,26.0,34.13,51.257,5.101,96.388,mango
26.0,35.0,31.0,33.446,53.059,5.339,98.05,mango
27.0,21.0,30.0,35.391,52.488,5.061,91.228,mango
22.0,38.0,31.0,31.533,53.06,5.821,98.57,mango
22.0,18.0,31.0,30.764,47.937,5.956,90.385,mango
28.0,23.0,28.0,30.018,50.098,5.676,96.087,mango
7.0,31.0,27.0,31.328,47.593,6.524,94.673,mango
29.0,34.0,26.0,33.88,54.394,6.273,89.291,mango
8.0,37.0,33.0,28.078,54.964,6.128,97.453,mango
39.0,16.0,27.0,35.538,52.946,4.934,91.545,mango
40.0,24.0,25.0,28.705,50.44,5.445,95.894,mango
19.0,38.0,26.0,31.484,48.779,4.525,93.172,mango
21.0,21.0,30.0,27.698,51.415,5.403,100.772,mango
22.0,18.0,33.0,30.412,52.481,6.621,93.923,mango
31.0,20.0,30.0,32.177,54.013,6.207,91.887,mango
18.0,26.0,31.0,32.611,47.749,5.418,91.101,mango
24.0,130.0,120.0,29.996,81.541,6.112,67.125,grapes
13.0,144.0,120.0,30.728,82.426,6.092,68.381,grapes
22.0,123.0,120.0,32.445,83.885,5.896,68.739,grapes
36.0,125.0,120.0,37.465,80.659,6.155,66.838,grapes
24.0,131.0,120.0,22.032,83.743,5.732,65.344,grapes
2.0,123.0,120.0,39.648,82.21,6.253,70.399,grapes
35.0,140.0,120.0,16.775,82.752,6.106,66.762,grapes
11.0,122.0,120.0,12.141,83.568,5.647,69.631,grapes
6.0,123.0,120.0,12.756,81.624,6.13,66.778,grapes
17.0,134.0,120.0,39.04,80.183,6.499,73.884,grapes
25.0,130.0,120.0,39.707,82.685,5.554,74.915,grapes
27.0,145.0,120.0,9.467,82.293,5.8,66.027,grapes
9.0,122.0,120.0,29.587,80.919,5.57,68.064,grapes
16.0,139.0,120.0,17.828,80.96,6.275,65.847,grapes
32.0,141.0,120.0,8.825,82.897,5.536,67.235,grapes
22.0,138.0,120.0,27.834,83.514,6.208,73.028,grapes
31.0,144.0,120.0,11.021,80.555,5.87,68.239,grapes
3.0,136.0,120.0,17.586,80.848,6.334,71.406,grapes
28.0,122.0,120.0,19.893,82.733,5.856,69.662,grapes
4.0,136.0,120.0,29.937,81.777,5.898,65.522,grapes
39.0,145.0,120.0,36.731,80.589,5.775,72.242,grapes
38.0,132.0,120.0,20.42,81.541,5.931,66.93,grapes
36.0,133.0,120.0,25.519,83.983,6.228,69.172,grapes
25.0,121.0,120.0,30.507,82.717,5.594,70.082,grapes
15.0,125.0,120.0,18.426,80.556,5.569,69.757,grapes
24.0,140.0,120.0,12.087,83.593,5.932,68.668,grapes
13.0,132.0,120.0,23.601,82.483,6.423,73.239,grapes
5.0,126.0,120.0,12.8,81.208,6.417,67.104,grapes
30.0,120.0,120.0,38.06,82.247,6.234,65.701,grapes
23.0,142.0,120.0,39.065,82.038,6.0,69.307,grapes
26.0,135.0,120.0,33.783,81.163,5.685,74.535,grapes
7.0,126.0,120.0,16.762,82.003,5.662,73.287,grapes
32.0,139.0,120.0,35.893,82.668,6.358,66.539,grapes
9.0,141.0,120.0,21.012,81.179,6.119,66.384,grapes
20.0,142.0,120.0,10.898,80.016,6.207,68.694,grapes
32.0,129.0,120.0,16.362,83.004,6.487,71.556,grapes
3.0,134.0,120.0,20.283,81.322,5.817,71.066,grapes
38.0,138.0,120.0,25.111,83.254,6.325,73.01,grapes
14.0,131.0,120.0,33.464,83.867,5.562,67.922,grapes
20.0,122.0,120.0,11.797,80.863,6.487,65.069,grapes
40.0,126.0,120.0,11.363,80.031,6.116,71.182,grapes
36.0,128.0,120.0,25.235,80.687,5.695,67.038,grapes
11.0,132.0,120.0,15.99,81.239,5.734,74.401,grapes
0.0,137.0,120.0,22.435,80.186,6.329,65.397,grapes
19.0,123.0,120.0,34.76,81.035,6.167,65.704,grapes
31.0,136.0,120.0,31.11,83.34,5.653,71.43,grapes
4.0,134.0,120.0,28.578,80.956,5.84,73.342,grapes
39.0,139.0,120.0,41.186,81.017,5.539,68.688,grapes
8.0,127.0,120.0,27.027,83.17,5.833,70.956,grapes
39.0,138.0,120.0,21.193,82.33,6.399,74.628,grapes
32.0,120.0,120.0,10.38,83.445,6.138,67.391,grapes
12.0,142.0,120.0,31.311,82.564,5.972,65.01,grapes
8.0,133.0,120.0,20.466,80.975,6.456,71.298,grapes
8.0,139.0,120.0,29.369,81.539,6.336,66.134,grapes
21.0,134.0,120.0,10.723,80.021,6.425,65.298,grapes
40.0,140.0,120.0,14.978,80.499,6.294,71.634,grapes
39.0,127.0,120.0,15.324,81.672,6.477,71.601,grapes
19.0,120.0,120.0,18.739,81.121,5.931,73.558,grapes
21.0,139.0,120.0,19.364,83.36,5.98,67.15,grapes
17.0,136.0,120.0,41.207,81.61,6.389,65.902,grapes
33.0,139.0,120.0,33.342,82.51,5.693,70.68,grapes
22.0,133.0,120.0,23.819,80.122,6.002,67.273,grapes
32.0,130.0,120.0,40.66,81.249,6.372,74.03,grapes
37.0,135.0,120.0,11.827,80.282,5.51,74.102,grapes
15.0,140.0,120.0,13.285,83.541,5.699,65.8,grapes
39.0,132.0,120.0,35.83,83.325,5.778,73.679,grapes
40.0,121.0,120.0,26.181,81.038,6.315,66.059,grapes
40.0,132.0,120.0,24.575,80.706,5.971,69.706,grapes
29.0,142.0,120.0,29.672,83.714,5.891,66.484,grapes
32.0,121.0,120.0,39.371,81.253,6.129,74.081,grapes
6.0,140.0,120.0,17.665,82.929,6.313,69.867,grapes
8.0,120.0,120.0,24.066,82.663,6.053,69.818,grapes
34.0,133.0,120.0,15.314,80.097,5.804,74.821,grapes
35.0,135.0,120.0,21.774,80.549,6.4,69.396,grapes
16.0,145.0,120.0,26.916,80.768,5.953,69.309,grapes
8.0,136.0,120.0,41.656,82.221,5.609,74.196,grapes
25.0,129.0,120.0,17.986,81.177,5.777,72.371,grapes
